Dataset ID,Case Name,Court Case No.,Year,Reporter,Legal Topic / Law,Case Facts / Issue,Judgment / Holding,Source URL
NLR-78-046,"J. REGISTRAR-GENERAL, Appellant, and T. SANGARAP1LLAI, Respondent",S. C. 148/72(F )— D. C. Jaffna 1679/M .S.,1975,NLR Volume 78,Administration of Justice Law,"Registration of Documents Ordinance—Whether document acknowledg­ ing receipt of moneys due on mortgage bond is registrable— Whether such instrument is a “ release ” or a “ receipt —Basts of jurisdiction of the District Court referred to in Section 38(2 ) of the said Ordinance (1) A document attested by a Notary acknowledging the receipt of moneys due by way of principal, interest and costs of action on a mortgage bond is not a “ release ” but a “ receipt ” registrable under the Registration of Documents Ordinance. (2) The District Court referred to in Section 38(2) of the Registration of Documents Ordinance is any District Court within the local limits of the jurisdiction of which the land or lands or movables were situated at the time the instrument affecting the same (and in respect of which the suit is instituted) was executed. SIRIM AN E, J.— Registrar-General v. Sangarappillai 395 PPEAL from a judgment of the District Court, Jaffna. C. Sithamparapillai, State Counsel, for the defendant-respon­ dent-appellant. K. Kanag-Iswaran for plaintiff-appellant-respondent. Cur. adv. vult. November 11, 1975. S i r i m a n e , J.— This is an action filed by the plaintiff who is",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/046-NLR-NLR-V-78-REGISTRAR-GENERAL-Appellant-and-t.-SANGARAPILLAI-Respondent.pdf
NLR-78-014,"J.  WIJERATNE, Appellant and THE REPUBLIC OF SRI LANKA, Respondent",S. C. 78/74 —H. C. Kurunegala 66/74,1975,NLR Volume 78,Criminal Law,"Criminal Law —Murder—Denial of a fair trial—what amounts to such denial—Failure of Trial Judge to refer to circumstances in favour of accused. When an accused is facing a capital charge it is essential thai- every point in favour of the accused, though is may seem trivial, should be placed before the jury. It may well be that all such matters, if so placed before the jury may create a reasonable doubt j the benefit of which the accused is entitled to. When the circums­ tances against the accused are emphasised and the Trial Judge expresses Ms opinion as to the adverse inference that could be drawn from the circumstances and fails to place the circumstances and inferences in favour of the accused before the jury, the accused is deprived of the substance of a fair trial. A P P E A L against conviction at a Trial before the High Court, F. W. Obeysekera, for the Accused-Appellant. T. Wickremasinghe, Senior State Counsel, for the State. Cur. adv. vult; June 11th, 1975. S ir im a n e , J.— The appellant was convicted on a charge of murder and sentenced to death. At the conclusion of the arguments before us on 20th May, 1975 we made order setting aside the conviction and acq",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/014-NLR-NLR-V-78-WIJERATNE-Appellant-and-THE-REPUBLIC-OF-SRI-LANKA-Respondent.pdf
NLR-78-024,J. H. MUDIYANSELAGE DON SOMAPALA Appellant and  REPUBLIC OF SRI LANKA Respondent,S. C. 111/74— H. C. Gampaha— 17/74,1975,NLR Volume 78,Penal Code,"Penal Code—Murder and Robbery—Possession of stolen property — Misdirection by trial judge. Evidence Ordinance—Confession—Inference that the accused committed the offence—Prejudice to the accused. (i) The accused-appellant was charged with the murder of three persons and in the course of the same transaction with having committed robbery. The trial judge directed the jury that where murder and robbery have been shown, as in this case, to form part of the same transaction, a recent and an unexplained possession of the stolen property will be presumptive evidence against a person on a charge of robbery and would similarly b® evidence against him on a charge of murder. 184 THAMOTHERAM J .—Don Somapala v. Republic of Sri Lanka","that the evidence of the accused’s statement to the Police was wrongly admitted as the possession of a sword cannot establish that the accused did participate in the criminal act of killing or that he had a common intention to kill, but the possession of the weapon which was used for the killing ran Appeal against conviction. P. B . J. B. Bulum ulla (assigned) for the accused-appellant. Sarath Silva, Senior State Counsel, for the State. Cur. adv. vu lt. September 23, 1975, T h a m o th er a m, J., The accused-appellant was charged before the High Court of Gampaha with having committed the murder of three persons, Somadasa, his wife Somi Nona and their 13 year old son Pathma- tilleke. At the trial, the State Counsel moved to amend the indic- ment by adding as the 4th count a robbery charge which read : “ That in the course of the same transaction (he) did com­ mit robbery of cash, of a gold chain, and a wrist watch valued at Rs. 500 from the possession of Wanaguruge Somadasa. ” The date of the offence was 28th April, 1971, at a time when insurgent activities were rampant in the country and had not yet been brought under control. There was no evidence that insur­ gents were active in this area. On the 30th of April, 1971, in the evening Charles Senanayake, the Gramasevaka of the area, having received a complaint, went towards the house of the deceased. He got a foul smell from some distance away. When he went up to the house he noticed that all the doors and windows of the hous",https://lankalaw.net/wp-content/uploads/2024/12/024-NLR-NLR-V-78-H.-MUDIYANSELAGE-DON-SOMAPALA-Appellant-and-REPUBLIC-OF-SRI-LANKA-Respondent.pdf
NLR-78-045,"J. P. EDIRISURIYA, Appellant, and M. EDIRISURIYA, Respondent",S. C. 283/70 (F) —D. C. Hambantota 255/L,1975,NLR Volume 78,Criminal Law,"Possessory action—Meaning of Ouster—Possession ut dominus—Scope of remedy. (1) The essence of the possessory action lies in unlawful dispossession committed against the will of the plaintiff and neither force nor fraud is necessary. Dispossession may be by force or by not allowing the possessor 'to use at his discretion what he possesses. (2) To succeed in a possessory action the plaintiff must prove that he was in possession “ ut dominus ”. This does not mean possession with the honest belief that the plaintiff was entitled to ownership. It is sufficient if the plaintiff possessed with the intention of holding and dealing with the property as his own. VYTHIAL INGAM. J .—Edirisuriya v. Edirisuriya 389 PPEAL from a judgment of the District Court, Hambantota. I. M . R. Wijetunga, with N. Seneviratne for the Defendant- ADDellant. N. R. M. Daluwatte with M. S. A. Hassan for the Plaintiff- Respondent. Cur. adv. vult. October 9, 1975. V y t h ia l in g a m, J.— The plaintiff-respondent brought this possessory action for the ejectment of the defendant, his servants, agents, workmen and others and to be restored to quiet possession of the land and house of which he claimed",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/045-NLR-NLR-V-78-P.-EDIRISURIYA-Appellant-and-M.-EDIRISURIYA-Respondent.pdf
NLR-78-035,"TENNEKOON, C.J .—Kahatagaha Mines Ltd. v. Fernando, Chief Valuer 273",S.C. 758/75 — Application for W rits of,1976,NLR Volume 78,Administration of Justice Law,"Certiorari, Prohibition and Mandamus Mines and Minerals Law No. 4 of 1973—Sections 58, 54 —Pro­cedure under Section 64 (2)—Chief Valuer a one-man tribunal — Judicial or quasi judicial function—Meaning of expression “ adduce evidence”.—Administration of Justice Law Sections 168(5), 184 (5), 213 (5), 447 (1), 451 (2) —Oaths Ordinance Section 4. The procedure contemplated by the Legislature in Section 64 subsection (2) of the Mines and Minerals Law No. 4 of 1973 was that each side should call witnesses or produce documents and that the other side would be entitled to cross-examine such witnesses. 274 TENNEKOON, C.J .—Kahatagaha Mines Ltd. v. Fernando, Chief Valuer] The expression “ adduce ........... evidence ” means testifying subject to being questioned by the party against whose interest such evidence may operate in the mind of the Tribunal, and by the person called upon to make the final determination. “ There can be no question that the Chief Valuer is required by law to act judicially. He must deal with the question referred to him without bias and must give each of the parties the oppor­ tunity of adequately presenting his case A p p l i c a t i o n for Writs of Cer",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/035-NLR-NLR-V-78-THE-KAHATAGAHA-MINES-LTD.-Petitioner-and-K.-S.-P.-D.-FERNANDO-Chief-Valuer-a.pdf
NLR-78-049,Unknown,,1976,NLR Volume 78,Criminal Law,"Present : Samerawickrame, J. (Chairman), Udalagama, J., and Walpita, J. IN RE (1) A. Y. VINCENT, (2) S. BENJAMIN, Suspects Case N o. 8 /7 5 Criminal Justice Commission—Sale of foreign currency—Contravention of S. 5 (I) (a) of the Exchange Control Act. S. 5(1) (a) of the Exchange Control Act reads— “ Except with the permission of the Bank no person, other than an authorized dealer shall in Ceylon buy or borrow any gold or foreign currency from, or sell or lend any gold or foreign currency to, or exchange any foreign currency with, any person other than an authorized dealer W here the suspects reached an agreement for the sale at a particular rate of foreign currency and the exchange was delivered to a third party in pursuance of that agreement in London.",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/049-NLR-NLR-V-78-IN-RE-1-A.-Y.-VINCENT-2-S.-BENJAMIN-Suspects.pdf
NLR-78-067,"J. K. NADARAJA, Appellant and THE REPUBLIC OF SRI  LANKA, Respondent",S. C. 76/75 —D. C. Colombo B/233,1976,NLR Volume 78,Bribery Act,"Bribery Act_Interpretation of the phrase "" a person who while having dealings of any kind with the Government”—Bribery Act. S. 21. Section 21 o f the B rib ery A ct provides inter alia that a p u blic servant w h o solicits or accepts any gratification from a person h avin g dealings o f any kind w ith the G overnm ent through any departm ent, office or establishm ent o f the G overnm ent shall be g u ilty o f an offence punishable under the B ribery A ct. One K W eerasinghe Banda w as the occu pier o f L ot 71 in H ulundu O va C olony, M oneragala, on a perm it issued under the Land D evelop m en t Ordinance. H e had a dispute w ith one M utunayake, the occu p ier o f the ad joining L ot 70, regardin g the obstruction ot the '•hannel through w h ich w ater w as supplied to his lot through lot 70 He sent at least tw o petitions to the G overnm ent A gent, M oneragala in 1972 and a fu rth er petition to the M inister o f A gricu ltu re in 1973. T he G overnm ent A gen t referred these petitions to the D istrict L and Officer, w h o directed the accused, a K achcheri S u rveyor to draw up a feasibility plan fo r the purpose o f giving w ater to lot 71. W hen the accused w ent to the land on 20.11.73. W eerasinghe Banda felt that the accused w as going to tik e a decision u nfavourable to him, and he also got the im pression that the accused “ w as angling fo r a b r ib e ” . H e th erefore w ent to the accused’s house on 25.11.73 and offered the accused a bribe ; and th ereafter m ade a com plaint to the B ribery Departm ent. A trap w as laid in consequence o f w h ich W eerasinghe Banda offered and the accused accepted a sum o f Rs. 450 on 30.11.73. T he officers o f the B ribery D epartm ent rushed up and arrested the accused and recovered from his possession the m arked Rs. 450.",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/067-NLR-NLR-V-78-K.-NADARAJA-Appellant-and-THE-REPUBLIC-OF-SRI-LANKA-Respondent.pdf
NLR-78-022,"J. E. B. P. FERNANDO, Petitioner, and B. C. F. JAYARATNE, Respondent",S. C. 267/72— Application for a W rit of,1974,NLR Volume 78,Criminal Law,Certiorari on B. C. F. Jayaratne ’Writ of Certiorari—Commissioner appointed tinder the Commissions of Inquiry Act (Cap. 393)—Failure to observe the rules of natural justice— Power only to inquire and make recommendations — Availability of the Writ. Where an application for a Mandate in the nature of a Writ of Certiorari is made to quash the findings in a report made by a Commissioner appointed by the Governor-General under the Commissions of Inquiry Act (Cap. 393).,"the W rit does not lie inasmuch as an examination of the provisions of the Commissions of Inquiry Act does not show that the report of the Commissioner was intended to be a step in a process which may in law have the effect of altering the legal rights or liabilities of persons named in the report. “ The only power that the Commissioner has is to inquire and make a report and embody therein his recommendations. He has no power of adjudication in the sense of passing an order which can be enforced proprio vigore, nor does he make a judicial decision. The report of the respondent has no binding force ; it is not a step in consequence of which legally enforceable rights may be created or extinguished.” Obiter— “ ...............I am constrained to add that while there may be no duty to act judicially, it does not follow that there is no duty to act fairly by observing the principles of natural justice ................ Reason and justice require that the person concerned against whom the Commissioner may feel inclined to make an adverse report should be heard before a finding is reached against him.”",https://lankalaw.net/wp-content/uploads/2024/12/022-NLR-NLR-V-78-E.-B.-P.-FERNANDO-Petitioner-and-B.-C.-F.-JAYARATNE-Respondent.pdf
NLR-78-005,Tennekoon v. Tennekoon 13,S.C. 766/72— M.C. Mahawa 23920,,NLR Volume 78,Evidence Ordinance,"Maintenance Ordinance Section 6— Corroboration of mother’s evidence —"" at or, about the time ” of sexual intimacy. —S. 157 of the Evidence Ordinance. Evidence— Impeaching the credit of a witness— Proof of form er statements—Evidence Ordinance sections 145, 155. H eld: (1) When section 6 of the Maintenance Ordinance speaks of corroboration of the evidence of the mother, it must be taken to include any kind of corroboration which is recognized by our law at the time when the applicant’s evidence is given. The words ‘ at or about the tim e’ when the fact took place must mean that the statement must be made at once or at least shortly thereafter when a reasonable opportunity for making it presents itself. The rule laid down in Don a Carolina v. Jayakoddy 33 N.L.R. 165 that corroboration can in no case be afforded by happenings that occur after the cessation of sexual intimacy commented on. (2) What is meant by saying that the mother’s evidence must be corroborated is that there must be some evidence in addition to her evidence which she has given in court “ which in some degree is consistent with her version and inconsistent with the innocence of the defendant ”— that is","“ In the present case the evidence shows that within a few months after conception, and when her condition was discovered, the respondent made a statement to her parents, who, on their part, complained to the Police Vidane. Under these circumstances it may fairly be said that the previous statement was made at a point of time sufficiently near to the fact, which the Court had to ascertain to make it admissible under section 157. ” (At page 233). This case was considered by a Full Bench of three Judges in the case of Ponnammah v. Seenitham by, 22 NLR 395. Bertram, C. J., in considering section 157, referred to the case of Anghoham y v. Kirinelis Appu and stated thus: “ In that case the evidence showed that within a few months of conception and when her condition was discovered, the woman made a statement to her parents. Wood Renton, J. observes that the words ‘ at or about ’ were relative terms. Of course, in any case, it must be a question of fact whether one event is at or about the time of another. Personally, I feel a difficulty in follow­ ing this pronouncement that a statement made by a woman within a few months after conception is made ‘ at or about the time ’ of the material fact under consideration, namely, the alleged sexual intimacy between the parties, unless, of course, if it were shown that the sexual intimacy continued after conception and down to about the tim e of the complaint. ” Now, what are the relevant facts of the present case ? They are—that the first a",https://lankalaw.net/wp-content/uploads/2024/12/005-NLR-NLR-V-78-T.-M.-SITA-KUMARI-TENNEKOON-Applicant-Appellant-and-T.-N.-R.-B.-TENNEKOON-De.pdf
NLR-78-056,"THAMOTHERAM, J . — Sugathadasa v. T he R e p u b lic of S r i L a n k a 495",S. C. 83/76— Walasmulla —473897— H. C. 34,1977,NLR Volume 78,Evidence Ordinance,"4/73 Evidence Ordinance—Failure of the accused to give evid en ce- statem ent from the Dock— Misdirection by the Trial Judge Administration of Justice LauJi, S. 213 (2). The accused appellant who was charged with murder did not give evidence in his own defence from the witness box. Instead the accused made an unsworn statement from the dock. The trial judge in his charge to the jury stated that “ it is your duty to consider what the accused has stated in that statement from the dock and consider whether you can believe what the accused stated in that unsworn statement. If you believe what the accused said in his statement from the dock, then you have no alternative but to acquit the accused, but you will bear in mind the submissions made by the State Counsel in his address to you on that matter which was that in considering whether you can believe what the accused said from the dock when he had a right to give evidence he chose not to give evidence from the witness box on affirmation and the State Counsel asked you to consider why it is that the accused when he had such a right to give evidence chose not to give evidence but chose to make an unsworn statement”.",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/056-NLR-NLR-V-78-W.-A.-SUGATHADASA-Accused-Appellant-and-THE-REPUBLIC-OF-SRILANKA.pdf
NLR-78-066,"Dorothy Silva v. Inspector of Police, Pettak 563",S. C. 12/76—M. C.—Maligdkande—19422,1977,NLR Volume 78,Criminal Law,"Brothels Ordinance 1889—Meaning of the term “ Brothel ” S. 2(a) of the Brothels Ordinance No. 5 of 1889 reads as follows :— “Any person who, (a) Keeps or maintains or acts or assists in the management of a brothel shall be guilty of an offence. The accused-appellant was charged and found guilty of having on 24th January 1975 at' Sal Mai ’, Savoy Buildings No. 2, Galle Road, Weilawatte, kept or managed a brothel. It was argued on her behalf that it is imperative tnat acts of indecency or sexual intercourse should be committed or opportunities for such acts should be available in the premises itself to which persons of both sexes resort to for the purpose of prostitution in order to make such premises a ‘ orotnei' witnm the meaning of the Brothels Ordinance.",Conviction/Sentence affirmed or set aside based on legal points.,https://lankalaw.net/wp-content/uploads/2024/12/066-NLR-NLR-V-78-MRS-DOROTHY-SILVA-Accused-Appellant-and-INSPECTOR-OF-POLICE-CITY-VICE-SQUA.pdf
