case_a_id,case_b_id,case_a_facts,case_b_facts,category_a,category_b,label
LK-NLR-68-Attorney-Gener,NLR-64-082,"atara, 23989 Ceylon (Parliamentary Elections) Order in Council (Cap. 381)-Sections 54 and 58 (1)- Trial of offence of personation-Exclusive jurisdiction of District Court- Criminal Procedure Code, ss. 11,152 (3), 166 (3). The offence of personation in terms of sections 54 and 58 (1) of the Ceylon (Parliamentary Elections) Order in Council, read with section 11 of the Criminal Procedure Code, is triable only by a District Court after non-summary proceedings have been taken by the Magistrate. It is not triable summarily by a Magistrate, whether he purports to assume jurisdiction under section 162 (3) or under section 166 (3) of the Criminal Procedure Code. 381 A PPLICATION to revise an order of the Magistrate's Court, Matara. Ranjit Abeysuriya, Crown Counsel, for the Attorney-General. Nihal Jayawickrama, for the accused-respondent. Cur adv. vult. March 18, 1966. ALLES, J.- This is an application by the Attorney-General to revise the order of the Magistrate of Matara who summarily tried an offender under section 58 of the Ceylon (Parliamentary Elections) Order in Council and, on her pleading guilty to the charge, sentenced her to pay a fine of Rs. 250/-. The Attorney-",", 13G17jC ' Motor Traffic Act—Section 25 (J)—Charge of using a motor vehicle without a revenue licence—Quantum of evidence. A charge under section 25 (1) of the Motor Traffic Act of driving a motor vehicle for which a revenue licence is not in force cannot be proved merely by evidence that a licence was not visible when the vehicle was inspected. Tho fact that a licence is not in force has to be proved by evidence from the propor authorities to the effect that the licence had not been issued at the relevant time. A.PPEAL from a judgment of the Magistrate’s Court, Colombo. S. A . M arikar, for the Accused-Appellant. X>. W . Abeyakoon, Crown Counsel, for the Attorney-General. 480 H. N. G. FERNANDO, J .— William v. Dharmasiri September 24, 1962. H. N/ G. F e r n a n d o , J.— The accused-appellant was charged on three counts, firstly, with driving a motor vehicle for which a revenue licence under the Motor Traffic Act was not in force, secondly, with failing to make the licence available for inspection, and thirdly, Avith driving a motor vehicle Avhile there was not in force the necessary policy of insurance under the Motor Traffic Act. The only evidence was that of a Pol",Penal Code Offences,Criminal Procedure & Jurisdiction,0.0
NLR-73-092,NLR-75-098,", 37754 Customs Ordinance (Cap. 233)—Section ICC (!)—Offence of possessing an articU suspected to hace been stolen—Ingredients of the offence—Burden of proof. In n prosecution urnlor section ICC (1) of tho Customs Ordinanco for possessing an article suspoctod to hnvo boon stolon—",", 39936 Municipal Councils Ordinance {Cap. 252)—Sections 4, 40, 57, 267, 268, 272, 320 — Colombo Municipal Council—Trees overhanging private premises —Incompe­ tence of Council to cut them down —By-law 47 of Colombo Municipal Council By-laws —Invalidity. In Chapter 8 of the Colombo Municipal Council’s By-laws, that portion of By-law 47 authorising the Municipal Council to cut down trees overhanging, and likely to prove dangerous to, purely private premises is ultra vires. .A.PPEAL from a judgment of the Municipal Magistrate’s Court. Colombo. V. Tharmalingam, for the accused-appellant. Sinha Basnayake, for the complainant-respondent. Cur. adv. vult. January 3,1972. d e K b e t s e b, J.— Mr. R. D. B. Jayasekera, Acting Municipal Magistrate found the Accused- Appellant guilty of having failed to cut down a coconut tree standing in the premises owned by her after service of notice from the Municipal Council, Colombo, requiring her to cut it down in terms of By-law 47 Chapter 8 of the Colombo Municipal Council’s By-laws and thereby committing an offence punishable under By-law 2. He fined her Rs. 16 in default one week’s R.I. and the Appeal is against this conviction. The first po",Evidence Ordinance & Proof,Criminal Procedure & Jurisdiction,0.0
NLR-78-045,SLR-2009-013-SLLR-SLLR-,"Possessory action—Meaning of Ouster—Possession ut dominus—Scope of remedy. (1) The essence of the possessory action lies in unlawful dispossession committed against the will of the plaintiff and neither force nor fraud is necessary. Dispossession may be by force or by not allowing the possessor 'to use at his discretion what he possesses. (2) To succeed in a possessory action the plaintiff must prove that he was in possession “ ut dominus ”. This does not mean possession with the honest belief that the plaintiff was entitled to ownership. It is sufficient if the plaintiff possessed with the intention of holding and dealing with the property as his own. VYTHIAL INGAM. J .—Edirisuriya v. Edirisuriya 389 PPEAL from a judgment of the District Court, Hambantota. I. M . R. Wijetunga, with N. Seneviratne for the Defendant- ADDellant. N. R. M. Daluwatte with M. S. A. Hassan for the Plaintiff- Respondent. Cur. adv. vult. October 9, 1975. V y t h ia l in g a m, J.— The plaintiff-respondent brought this possessory action for the ejectment of the defendant, his servants, agents, workmen and others and to be restored to quiet possession of the land and house of which he claimed","PHC (WP) GAMPAHA 20/2001 FEBRUARY 25, 2009 MARCH 30, 2009 Penal Code - Section 296 - Murder - Offensive Weapons Act - Section 4 (2) - 15 of 1979 - amended by 11 of 1988 - Section 195 (ee) - Section 351, Section 465A - Failure to offer to accused option to be tried by a jury - Statutory duty - Fatal? - Evidence Ordinance - Section 35 - Section 114 (d) - Relevancy - Constitution Art 13 (3) - Code of Criminal Procedure - Section 351 - retrial? The 2n d accused-appellant along with two others were indicted and convicted under Section 296 and causing injuries to ten others - punishable under the provisions of the Offensive Weapons Act. It was contended that, the trial Judge failed to comply with Section 195 (ee) of the Code of Criminal Procedure Act and the failure to offer the accused the option to be tried by a jury is fatal. It was contended by the respondent that, there is no statutory provision which imposes a duty upon a trial Court to record every such detail, and the presumption in Section 114 (d) Evidence Ordinance should operate in favour of the respondent. It was further contended that, the failure to aver such a fundamental defect as a ground of appeal in th",Penal Code Offences,Penal Code Offences,1.0
NLR-73-072,NLR-71-092,", 273S3 ' Criminal trespass—Co-owners—Offence committed by owntr of undivided share of land by unlawful entry upon the land—Quantum of evidence. Tho 2nd accused, after purchasing an undivided one-sixth share of a paddy land, entered unlawfully upon a portion of the same land possessed dividediy by tho complainant-respondent for a period of 13 years. Tho evidence showed that tho entry upon tho divided portion was not made by tho accused under a bona fide claim of right.","6,653IB and Application for a Mandate in the nature of a Writ of Certiorari on the Colombo Joint Magistrate and others Inquest of death—Nature of proceedings—Finding of Magistrate er inquirer—Whether certiorari or application in revision lies to quash the finding—Criminal Procedure Code, ss. 9, 120, 148 [1) (6), 148 (I) (c), 356, 361, 362, 363, 364 (1)—Courts Ordinance,.s. 19. Neither Certiorari nor an Application in Revision lies to quash a finding made by a Magistrate or an inquirer at the conclusion o f a purported inquest o f death held under the provisions o f Chapter 32 o f the Criminal Procedure Code. _ The functions o f a Magistrate or an inquirer holding an inquest- o f death are of a non-judioial character. A PP LIC A TIO N S for a writ o f certiorari and in revision in respect o f an order made by the Joint Magistrate’s.Court, Colombo. Oeorge E. Chitty, Q.C., with R. A. Kannangara, A. M. Coomaraswamy, C. A. Amerasinghe and Miss Mono Barr-Kumarahulasinghe, for the Petitioner. Colvin R. de Silva, with Sidat Sri Nandalochana, S. S. Sahabandu, Mrs. Sarath Muttetuwegama and S. S. Wijeratne, for the 2nd Respondent. . P. 8. A. PnUenayegum, Crown Counsel, with R.",Penal Code Offences,Criminal Procedure & Jurisdiction,0.0
NLR-76-012,LK-NLR-68-PODI-SINGHO-v.,"Present: Sirimane, J. HEMAS (ESTATES) LTD. and another, Appellants, and CEYLON WORKERS’ CONGRESS, Respondent S. G. 88/69—Labour Tribunal, 9/484 & 485 Industrial dispute —Evidence—Burden of proof. In proceedings before a Labour Tribunal relating to a dispute between a workman and his employer, it is open to the President to accept the more probable version and to decide the case on a balance of probability. Aiip P E A L from an order of a Labour Tribunal. H. W. Jayewardene, Q.C., with A. M. Goomaraswamy, for the employers-appellants. N. Satyendra, with V. Jegasothy, for the applicant-respondent. Cur. adv. vult. August 10, 1971. Sir im a n e, J.— The main question which arose for decision in this case was whether the workman (a labourer on an estate) had handed over the line-room allotted to him to another labourer, and gone to reside elsewhere. There was conflicting evidence on this point. It was the workman’s case that he never gave up residence in the line-room, and that his absence was temporary. The President, having considered all the evidence, appears to have accepted the evidence of the workman and his witnesses in preference to that of the employer. He has expressed himsel",", 1/B2 Bribery Act, as amended by Act No. 40 of 1958—Offences falling within clauses (b) and (c) of section 19—Burden of proof—“Ofﬁcial act”—“Authorised by law or the terms of employment to receive”. Acceptance of a gratiﬁcation by a public servant as an inducement or a reward for abstaining from performing an act which is not an offence known to law is not a contravention of section 19 (b) of the Bribery Act. It cannot be said for the purpose of section 19 (c) of the Bribery Act that a public servant engaged in any employment in the public service is not authorised by law or the terms of such employment to receive any gratiﬁcation unless there is in any law or the terms of such employment a prohibition of the acceptance of any gratiﬁcation by a public servant engaged in such employment. APPEAL from a judgment of the District Court, Matale. George Candappa, with M. Amarasingham, for the accused- appellant. N. Tittawela, Crown Counsel, for the Attorney-General. July 11, 1966. ABEYESUNDERE, J.— In this case the accused-appellant was charged on two counts under the Bribery Act. On the ﬁrst count he was charged with having accepted, while being a public servant employed as",Evidence Ordinance & Proof,Evidence Ordinance & Proof,1.0
NLR-72-101,NLR-69-084,", 51102/M Cheques and dividend warrants—Collecting banker—Proceeds of a cheque credited to account of a person other than the true owner —Negligence—Liability of the banker to the true owner—Burden of proof—English law doctrine of conversion — Inapplicability of it in Ceylon—Applicability to a cheque transaction —Roman- Dutch law—History and scope of its applicability in Ceylon—Proclamation of 23rd September 1799—Adoption of Roman-Dutch Law Ordinance (Cap. 12 )— An inaccuracy in s. 2 thereof—Ordinance No. 5 of 1852, s. 2—Scope and effect of it—Bills of Exchange Ordinance (Cap. 82), ss. 22, 27, 82, 9S (2)—Lost cheque—Secondary evidence—Evidence Ordinance, ss. 65 (5), 65 (3) —Banker's liability in English_la%oz—Applicability in Ceylon—Civil Law Ordinance (Cap. 79), s. 3—Action for money had and received —Maintainability'-— Prescription Ordinance (Cap. 6S), s. 7 —Quasi contractual liability—Condictio indebiti—Unjust enrichment. Where a crossed “ not negotiable ” cheque in the form of a dividend warrant is indorsed by the payee with the words “ Credit my account only ”, a banker who collects payment of it and credits the proceeds to the account of a person other than the","d that a Report such as P57 is not an official record within the meaning of s. 35 of the Evidence Ordinance, and is accordingly not admissible in evidence under that section in proof of any fact stated in such a report. I adhere to the ruling in the Rattota case, which also was the basis upon which the appeal in the Dedigama Election Appeal was dismissed (although reasons were not there stated—see S. C. Minutes of 1.11.66 ). If therefore the report P57 was the sole or substantial means by which it was established in the instant case that a false statement as to the character or conduct of the petitioner had been made by Yassassi Thero, the finding, of the learned Election judge upon the charge now being considered cannot be sustained. I have pointed out however that although P.C. Hendrick first read aloud the report P57, he was expressly asked thereafter whether he could, having read the report, recall what had been said at the meeting, and that Hendrick did then claim to recollect -'9 part pf the alleged statement. I cannot agree with the submission that because the record of the trial contains a reproduction of sentences from P57, this was not a case of the refres",Evidence Ordinance & Proof,Evidence Ordinance & Proof,1.0
NLR-71-052,NLR-65-105,", 41448 Control of Prices Act (Cap. 173), as amendedby Acts Nos. 44 of 1957 and 16 of 1956— Subsections (1) and (6) of section S—Cried chillies—Sale to a decoy at excessive price—Whether it is a sale for the purpose of consumption or use within.the meaning f Rule 11 (b) of the relevant Price Control Order—Inapplicability of noscuntnr a sociis rule of interpretation—Sentence—Imprisonment ae well as fine mandatory—Penal Code, s. 72—Criminal Procedure Code, s. 325. A sale of dried chillies to a decoy is a sale for the purpose of consumption or use within the meaning of Buie 11 ( 6) of the relevant Price Control Order. In such a case the rule of interpretation noscuntur a sociis cannot give the word “ use ” a meaning cognate to that of the word “ consumption Where an offence punishable under section 8 ( 6) of the Control of Prices Act has been committed, it is mandatory not only to pass a sentence of imprisonment but also to impose a fine. Observations on the applicability of section 325 of the Criminal Procedure Code to oontraventians otPriee Control Orders. 234 W E E R A M A N T R Y , J.—OunapcUa v. Wilson dt Silva ■A.PPEAL from a judgment of the Magistrate’s Court, Colom",", an unreported judgment of Abevesundere, J., and (3) Supreme Court Minutes of 23rd November, 1961, S. C. No. 946/’61 M. C. Jaffna No. 21325, an unreported judgment of T. S. Fernando, J. In the first two judgments I hare referred to, the word “ forthwith ” has, in effect, been interpreted to mean “ at once ” , that is to say, immediately the accused is produced, whereas in the last as “ within a reasonable time ” . The word “ forthwith ” in section 190 of the Criminal Proceaere Code was the subject of decision by a Divisional Bench of two Judges, viz., Wijeyewardene, C.J. and Gnnasekara, J., in the case of Banda v. David (S. I. Police) 2, where they interpreted the word “ forthwith ” in that section not to mean ""im m ediately” . In doing so they overruled the view taken by Basnayake, J. in the case of Vethanayagam v. Inspector of Police, Kankesaniurais where he construed the word “ forthwith” to mean “ immediately ” . The word “ forthwith "" in section 756 of the Civil Procedure Code was the subject of decision by the Privy Council in Sameen v. Abeyemck- vema 4 and Their Lordships held that it was not right to construe the. the word “ forthwith ” as meaning “ on the",Penal Code Offences,Criminal Procedure & Jurisdiction,0.0
NLR-67-071,NLR-72-011,", 36238/A Employees' Provident Fund Act, N o. 15 of 1958— Sections 8 and 15— Regulations made under s. 46, Regulations 1, 3, 4, 60 (3 )— Prosecution for failure of employer to pay contributions due from employees —“ Covered employment ”— Burden of proof—Evidence Ordinance, 8. 105. Regulation 3 of the regulations of October 29, 1958, made by the Minister under secton 46 of the Employees’ Provident Fund Act is as follows :— “ Any employment on any work which is usually performed by the day or by the job or by the journey shall not be a covered employment. ”",", w i t h A p p l i c a t i o n N o. 126 S. C. 170 of 1968—11. C. Puttalam, 3943 Charge of murder— Plea o f intoxication — P roof— Whether intoxication can result fro m the smoking o f ganja — M isdirection. Intoxication affecting the question o f intention to commit an offence m a y be caused by the smoking o f ganja. jA .P P E A L against a conviction at a trial before the Supreme Court. E. R. S. R. Coomaraswamy, with T. Jokanalhan, M . S. Azeez, G. B. Walgampaya and E. St. N. D. Tillekeratne (assigned), for the accused- appellant. E. R. de Fonseka, Senior Crown Counsel, for the Attorney-General. Gur. adv. vull. January 26, 1969. S i r i m a n e , J.— The appellant was convicted of the murder of his 2 little sisters, aged 10 and 11 years, by a divided verdict (5 to 2) o f the Jury. The appellant had shot the 2 girls in the early hours of the morning while they were asleep, and the prosecution could suggest no motive for this act. v-bs SIRIMANE, J.—Marikkar v. The Queen ■ : - The evidence shows that the appellant looked after his sisters, and was ••very fond of them. According .to the evidence o f the appellant ho had taken a bottle o f beer and some arrack on the previ",Evidence Ordinance & Proof,Penal Code Offences,0.0
NLR-70-099,NLR-63-007,", 67024/A Control of Prices Act—Food Price Order—Meaning of word “ mutton The word “ mutton ” in Food Price Order No. C 283 includes frozen mutton. A.PPEAL from a judgment of the Magistrate’s Court, Colombo South. V. 8. A. Pullenayegum, Crown Counsel, with Faisz Mustapha, Crown Counsel, for the Complainant-Appellant. No appearance for the Accused-Respondent. November 4, 1967. T e n n e k o o n , J.— This is a case in which the accused has been convicted of having sold mutton at a price above that fixed by Food Price Order No. C283. There was evidence that the mutton that was sold on this occasion was frozen mutton. The learned Magistrate, holding that the word “ mutton ” as used in the Food Price Order did not include frozen mutton, acquitted the accused. The learned Magistrate appears to have thought that the use of the words “ mutton without bones, mutton with bones, and mutton dead weight” in the Food Price Order was an indication that if it was intended to control the price of frozen mutton there would have been reference to frozen mutton in the descriptions of mutton which were subject to the price order. I do not think this follows at all. ABEYESUNDERE, J .—Piyada",", 1961 —M. C. Colombo, 23,828IA Evidence—Confession made by one of seieral persons tried jointly —Admissibility— Evidence Ordinance, ss. 24, 30—Criminal Procedure Code, s. 134. (1) By section 30 of the Evidence Ordinance :— “ When mere persons than one are being tried jointly for the same offence, and a confession made by one of such persons affecting himself and some other of such persons is proved, the court shall not take into consideration such confession as against such other person.”",Criminal Procedure & Jurisdiction,Criminal Procedure & Jurisdiction,1.0
LK-NLR-68-KARUNARATNE-v.,NLR-65-029,", 28906 Rape—Corroboration of evidence of prosecutrix—Misdirection— Evidence Ordinance s. 157. In a prosecution for rape, evidence of a complaint made by the prosecutrix soon after the commission of the alleged offence cannot be regarded as independent corroboration of her evidence against the accused, although it is admissible to show the consistency of her story. APPLICATION against a conviction at a trial before the Supreme Court. S. Gunasekera, for the accused-appellant. A. C. de Zoysa, Crown Counsel, for the Crown. Cur. adv. vult. January 29, 1966. T. S. FERNANDO, J.— The appellant has been convicted by the unanimous verdict of a jury of the offence of rape and has been sentenced to undergo ﬁve years' rigorous imprisonment. The only point that needs consideration at our hands is that relating to a misdirection of the jury in respect of corroboration of the story of the prosecutrix who, at the time of the offence alleged, was about 14 years of age. The appellant is a cousin of the prosecutrix and was about 20 years old at the relevant date. He testiﬁed that he had sexual intercourse with the girl, but added that such intercourse was had with her free consent. The","Present; We«aseorlya* J. j . m m a m m A m , m i s . w o i m m t t i t A , Respondent S. €. 162—M. G. Ganvpaha, 64,757 Maintenance Ordinance {Cap. 91)—Section 2—Incapacity of an ex-wife to apply thereunder for maintenance. A married woman who hae obtained a decree for divorce ia not entitled there- after to apply for maintenance for herself under section 2 of the Maintenance Ordinance. In construing the expression “ wife ” in that section it is not permissible to give it an extended meaning so as to include an ex-wife who, as a result of a decree of a competent court, has ceased to be the wife of the respondent. A p p e a l from an order of the Magistrate’s Court, Gampaha. Frederick W. Obeyesekere, for the applicant-appellant. J. 0. TJmrairatnam, ■with M. T. M. Sivardeen, for the defendant- respondent. September 3, 1962. W e e r a s o o r i y a , S.P.J.— This is an appeal from an order of the Magistrate refusing an application by the applicant-appellant against the respondent for maintenance of herself and her child. In the application, which was made on the 13th May, 1961, under the provisions of section 2 of the Maintenance Ordi­ nance (Cap. 91), the applicant describe",Penal Code Offences,Criminal Procedure & Jurisdiction,0.0
NLR-66-105,LK-NLR-68-H.-Kaenelis-Si,", 24240 Evidence—Cognizable offence—Statement made by a person to a police officer during investigation— Use cf it by Court as evidence —Illegality—Reception of evidence of bad character of accused —Elfect— Finding of fact in a criminal case —Cir­ cumstances when appellate Court ivill reverse it—Burden of proof in a criminal case— Criminal Procedure Code, ss, 122 (3), 190—Evidence Ordinance, ss. 145, 155, 165, 167. At the trial of a cognizable offence, the accused led evidence in term s of section 122 (3) of the Criminel Procedure Code, read with sections 145 and 155 of the Evidence Ordinance, to show that the prosecution witnesses had, in their statements to the Police in the course of the investigation of the offbnce, made certain statements which were contradictory of their evidence at the trial. After the evidence in the case was coucluded, the Magistrate caused to be pro­ duced the full statements made to the Police by the prosecution witnesses, in order to satisfy himself “ that nothing has been taken out of their context” and also “ to go through the record of the statem ents in the light of statem ents of counsel for the defence On the next morning he pronounced his verdict",", 43516/G Criminal Procedure Code-Section 418-"" Criminal force ""-Criminal trespass- Power of Court to restore possession of immovable property. Section 418 (1) of the Criminal Procedure Code reads as follows :- "" Whenever a person is convicted of an offence attended by criminal force and it appears to the Court that by such force any person has been dispossessed of any immovable property, the Court may if it thinks fit order such person to be restored to the possession of the same.",Penal Code Offences,Criminal Procedure & Jurisdiction,0.0
NLR-69-026,NLR-65-034,"sunder am, for the Petitioner-Respondent. Cur. adv. vult. October 14, 1966. H. N. G. F e r n a n d o, S.P.J.— The Appellant was elected the Member of Parliament for the Electoral District of Katugampola at the General Election held in March 1965 as a candidate of the Sri Lanka Freedom Party. In an Election • The following order was made on September 22, 1966, when a preliminary objection was taken by Counsel for the petitioner-respondent in regard to the constitution of the Appeal Court:— “ Counsel for the Respondent in this appeal has informed us that his client does not desire Justice Abeyesundere to be a- member of the Bench hearing this ' appeal. The ground is that Justice Abeyesundere’s brother wa3 formerly married to the sister, now deceased without issue, of the Appellant in this case. J Ustice Abeyesundere remains satisfied that he is not personally interested in the appeal, and he has informed the Chief Justice accordingly. We will hear the appeal.” ■ H. N. G. FERNANDO, S.P.J .—Subaainghe v. Jayalath 128 Petition filed by the Respondent, the Election Judge determined that the election was void on three grounds :— (1) that the corrupt practice of making a false",", 307341A Criminal procedure—Assumption of jurisdiction to try summarily a non-summary offence—Procedure—Effect of change of Magistrate—Stage at which summary jurisdiction should be assumed—Value of evidence recorded before assumption of summary jurisdiction—Criminal Procedure Code, ss. 148 (J) ( b), 152 (1), 152 (8), 156. Where there is a change of Magistrate after e Magistrate decides to hear a non-summary case summarily under section 152 (3) of the Criminal Proce­ dure Code, it is not necessary that the new Magistrate should elect afresh to try the case summarily under that section. It is not open to a Magistrate to assume summary jurisdiction under section 152 (3) of the Criminal Procedure Code after non-summary proceedings have already commenced and evidence o f witnesses has been taken as part of the non ­ summary inquiry. Evidence recorded by a Magistrate to enable him to decide whether he should exercise summary jurisdiction under section 152 (3) of the Criminal Procedure Code cannot be taken into consideration by him at the trial, unless it is recorded de novo. -tAPPEAL from a judgm ent of the Magistrate’s Court, Colombo. Colvin R. de Silva, with P. Nagendra, fo",Evidence Ordinance & Proof,Criminal Procedure & Jurisdiction,0.0
SLR-2012-V1-069,NLR-74-099,"HC NEGOMBO 179/2001 JANUARY 8,16, 2007 Penal Code - Section 363 (e) -Amendment 22 of 1995 - Rape -What constitutes rape ? - Penetration - Credibility of victim — Corroboration and ""Lucas principle"" - Uttering falsehoods on material particulars — Abducting a girl of marriageable age — Natural presumption - Extension of it to all abductions? Evidence Ordinance - Section 11 (b). The accused - appellant was indicted of having committed statutory rape on P - Section 364 (2) (e) - and after trial was found guilty. Sentenced to a term of 15 years R.I. In appeal it was contended that the evidence led in the case was insufficient to prove penetration which is the all important element in a rape case. HELD Per Ranjith Silva, J. ""The slightest penetration of the penis within the vulva, such as the minimal passage of glans between the labia with or without the emission of semen or rupture of hymen constitutes rape. There need not be a completed act of intercourse. Rape can be committed even when there is inability to produce penile erection. Rape can occur without causing any injury and as such negative evidence does not exclude rape"". (1) It is inconceivable that one cou",", R e sp o n d e n t jS. G. 220/70, with Application in Revision 322/71 —M. G. Panadura, 13701 ■Criminal law—Mistake of law—Relevancy in regard to liability and the sentence that should be passed—Charge of bigamy — Accused’s misconception of facts and law—Sentence. ALLES, J .—De Zoysa v. Inspector of Police426 An accused person’s misconception of the facts, though it relates to a provision of law, is relevant and effective to negative a particular state of mind imputed to tho accused. Although ignorance or mistake of law is no defence, the offoct of tho misconception as to tho law can bo taken into consideration in determining tho sentence that should bo imposed by Court. The accused-petitioner was charged with bigamy. The evidence established that he honestly and in good faith belioved that hi3 first marriago on Sth October 1947 come to an end by reason of the repudiation of tho marriage by his first wife who had deserted him and wa3 living with another man. He therefore honestly belioved that ho was legally entitlod to contract his second marriago on 14th February 1953. Ho deceit was practised on his second wife.",Penal Code Offences,Criminal Procedure & Jurisdiction,0.0
NLR-71-113,NLR-59-001,", 4590 •Criminal Procedure Code— Section 152 (3 )—Indictable offence—Pouter o f Magistrate to try it summarily—Scope. Where a Magistrate assumes summary jurisdiction in terms of section 152 (3) of the Criminal Procedure Code in respect of an indictable offence, the jurisdiction, once it has been properly entered upon, is not affected merely because the facts and law are found later to have assumed a complicated character. 19 j 9) 61 N . H P£?£5. SIVA 8TJPRAMANIAM, J .— CheUiah v. Inspector o j P olice, Ratnapura 665 A p p e a l from a judgment of the Magistrate's Court, Ratnapura. M . M . Kumarakvlasingham, with S. Sinnatamby, for the 1st accused- appellant. 8 . Sinnatamby, for the 2nd and 3rd accused-appellants. W. K . Premaratne, Crown Counsel, for the Attorney-General. Cur. adv. w it. February 28, 1967. Siva S tjpram aniam, J.— The three appellants and another were charged with having dishonestly retained eleven milla logs valued at Rs. 474*91 property in the possession o f the Divisional Forest Officer, Ratnapura, knowing or having reason to believe the same to be stolen property and thereby having committed an offence punishable under s. 394 o f the Ceylon Penal Cod","Present: Earl Jowlft, Lord Morton of Henryfon, Lord Tucker, Lord Keith of Avonholm and Lord Denning K. M. PERERA, Appellant, and H. G. MARTIN DIAS, Respondent P r iv y C o u n c il A p p e a l N o. 10 o p 1956 S. G. 4-14—D. O. Kuru negala, 3705 Appeal—Finding of fact of trial judge—Reversal by appellate court— Importance of proper perception of facts—Omnibus Service Licensing Ordinance, 1042. U'hero a trial judge lias believed ono party and disbelieved tho opposite party on a question of fact and lias found tho primary facts accordingly, an appellato court will roverso tho trial judgo on his perception of thoso facts wlion it is convincod by tho plainest considerations that it would bo justified in doing Xino persons, each of whom owned one or moro omnibuses, formed a partner­ ship known as tho K. A. B. Bus Co., whoso business was to ply thoir buses for hire along a particular route. One of these partners was tho plaintiff. Another was tho defendant, who was tho manager of tho partnership business. In 1942 the Omnibus Servico Licensing Ordinance was passed in order to avoid compe­ tition between bus owners. Under the new licensing system introduced by that Ordinance, tho lieenco to",Penal Code Offences,Penal Code Offences,1.0
NLR-72-058,NLR-63-049,", the Police report under section 14S (1) (6) of the Code alleges that the petitioner intentionally insulted M. P. W. Munasinghe, Inspector of Police, Kegalle, an offence punishable under section 4S4 of the Penal Code ; that lie used criminal force on the said Munasinghe (section 344 of the Code) ; and that ho offered resistance to the apprehension of himself by Munasinghe (section 220A). In M. C. Kegalle GS267, the report alleges that the petitioner caused annoyance to N. B. Cyril Gunadasa, while being in a state of intoxication (section 4SS of the Code), insulted the said Gunadasa, ALLES, J.—Pandituratnc i\ Assistant Superintendent of Police, Kc'juUc 273 (section 4S4) and committed criminal intimidation on Gimadasa (section 4SS). In M. C. Kegallc GS2G9, the report alleges the commission of offences under section 314 of the Penal Code by the petitioner in respect of hurt caused to P. S. Pietersz and P. C. Karunadasa of the Kcgalle Police. Except for the offence of Insult- under section 4S4, the other offences are cognizable offences. In order to appreciate the question of law that has been argued in this application it is necessary to briefly recount the circumstanc","e Nisi issued under Section 17 of the Courts Ordinance (Chapter 6) on John Henry Matthew Fernando, Proctor of the Supreme Court, Colombo Proctor—Removal from office—Considerations applicable—Courts Ordinance [Cap. 6), s. 17. The respondent, a Proctor, had been convicted of criminal breach of trust and of dishonest misappropriation of property under sections 389 and 386 respectively of the Penal Code.",Penal Code Offences,Penal Code Offences,1.0
NLR-74-114,LK-NLR-68-JAYASENA-v.-TH,", Petitioners, and IN SPECTOR OE POLICE, CRIM ES, K ALU TA RA, Respondent S. C. G01-602/70— Application in Revision in M . C. Kalutara, 44067 Conciliation Boards Act—Section 11—Requirement of Chairman's certificate — Scope of its applicability in specified criminal cases. Where a person has been convicted in a Magistrate’s Court in a case which should have in tho first instance come up before a Conciliation Board, the conviction may be set aside in revision by the Supremo Court if the prosecuting police officer failed to produce before the Magistrate a certificate from tho Chairman of tho Conciliation Board. In such a case the ignorance of tho prosecuting officer should not prejudice the accused. .A P P L IC A T IO N to revise an order of the Magistrate’s Court, Kalutara. A. G. de Zoysa, with Jajatissa Herath and Justin Perera, for the 1st and 2nd accused-petitioners. K : W. D. Perera, Crown Counsel, for the Attorney-General. Cur. adv. vult. July 14, 1971. W i j a y a t i l a k e, J.— Learned Counsel for the petitioners submits that the learned Magistrate had no jurisdiction to try this ease as a certificate under Section 14 of the Conciliation Boards A ct has not been f",", 24302 Evidence-Commission of cognizable ofﬁce -Investigation by police ofﬁcer-Statement made to him by accused 'person-Discovery of facts resulting therefrom- Inadmissibility of oral evidence of Hat statement-Evidence Ordinance, as. 27, 9t-Criminal Procedure Code, s. 122 (3). A portion of section 9J of the Evidence Ordinance reads aa follows :-"" .... in all cases' in which any matter is required by law to be reduced to the form of a document, no evidence shall be given in proofof such matter, except the document itself, or secondary evidence of its contents in cases in which secondary evidence is admissible under the provisions hereinbefore contained.",Penal Code Offences,Criminal Procedure & Jurisdiction,0.0
